_id,Facility ID,Location ID,Facility Type (Display Name),Permit,FacilityType,Facility Rating,Asset Name
8665,132507,2507,Outdoor Fitness Equipment,None,Outdoor Fitness Equipment,None,OLD SHEPPARD PARK - Outdoor Fitness Equipment Area - Outdoor Fitness Equipment (  3)
8666,132508,2507,Outdoor Fitness Equipment,None,Outdoor Fitness Equipment,None,OLD SHEPPARD PARK - Outdoor Fitness Equipment Area - Outdoor Fitness Equipment (  4)
8667,28522,2510,Community Garden,None,Community Garden,None,WINCHESTER SQUARE PARK COMMUNITY GARDEN
8668,43683,2513,Pond,None,Open Water,None,WILLOWFIELD GARDENS PARK - POND - Open Water
8669,102105,2519,Bottle Filling Station,None,Water Bottle Filling Count,None,ASQUITH GREEN PARK - Drinking Water Source
8670,2707,2520,Drinking Fountain,None,Drinking Fountain Count,None,PARKVIEW PARK - Drinking Water Source
8671,34243,2520,Playground,None,Playground Site,None,PARKVIEW PARK - Playground
8672,57373,2521,Pond,None,Open Water,None,MANOR PARK - Open Water
8673,2705,2523,Drinking Fountain,None,Drinking Fountain Count,None,PEAREN PARK - Drinking Water Source
8674,17892,2523,Ball Diamond,sport,Baseball Diamond Field,None,PEAREN PARK - Ball Diamond Field
8675,29594,2523,Fieldhouse,None,Fieldhouse,None,PEAREN PARK - Fieldhouse
8676,34246,2523,Playground,None,Playground Site,None,PEAREN PARK - Playground
8677,850061,2523,Parking Lot,None,Outdoor Parking Lot,None,PEAREN PARK - Outdoor Parking Lot
8678,34248,2524,Playground,None,Playground Site,None,PELLATT PARKETTE - Playground
8679,47202,2525,Playground,None,Playground Site,None,WISHING WELL WOODS - Playground
8680,3650,2528,Outdoor Basketball Court,None,Basketball Court,None,TELFER PARK - Basketball Court
8681,34275,2528,Playground,None,Playground Site,None,TELFER PARK - Playground
8682,34255,2529,Playground,None,Playground Site,None,PINEWAY PARK - Playground
8683,34297,2531,Playground,None,Playground Site,None,JAMES TRIMBEE PARK - Playground
8684,102256,2531,Drinking Fountain,None,Drinking Fountain Count,None,JAMES TRIMBEE PARK - Drinking Water Source
8685,34257,2532,Playground,None,Playground Site,None,PLEASANTVIEW PARK - Playground
8686,79417,2532,Outdoor Fitness Equipment,None,Outdoor Fitness Equipment,None,PLEASANTVIEW PARK - Outdoor Fitness Equipment Area - Outdoor Fitness Equipment (  1)
8687,79418,2532,Outdoor Fitness Equipment,None,Outdoor Fitness Equipment,None,PLEASANTVIEW PARK - Outdoor Fitness Equipment Area - Outdoor Fitness Equipment (  2)
